"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 26 08:29:30 UTC 2025","Sat Jul 26 08:30:37 UTC 2025","66691","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify Admin can purchase organization credits with custom amount","
Verify that:
    - Admin can purchase credits by input custom amount.
"
"failed","Sat Jul 26 08:27:55 UTC 2025","Sat Jul 26 08:29:23 UTC 2025","87478","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify Manager can purchase organization credits with predefined value","
Invite member with Manager role.
Verify that:
    - Manager can purchase credits using predefined value(10, 100, 1000).
"
"passed","Sat Jul 26 08:26:32 UTC 2025","Sat Jul 26 08:27:47 UTC 2025","74532","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify User cannot purchase credits via top pane","
Invite member with User role.
Verify that:
    - User cannot purchase credits via top pane.
"
