"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 26 09:20:35 UTC 2025","Sat Jul 26 09:21:50 UTC 2025","75231","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify User cannot purchase credits via top pane","
Invite member with User role.
Verify that:
    - User cannot purchase credits via top pane.
"
"failed","Sat Jul 26 09:21:58 UTC 2025","Sat Jul 26 09:23:55 UTC 2025","117417","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify Manager can purchase organization credits with predefined value","
Invite member with Manager role.
Verify that:
    - Manager can purchase credits using predefined value(10, 100, 1000).
"
"failed","Sat Jul 26 09:24:03 UTC 2025","Sat Jul 26 09:24:48 UTC 2025","45263","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify Admin can purchase organization credits with custom amount","
Verify that:
    - Admin can purchase credits by input custom amount.
"
