"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 24 12:34:59 UTC 2025","Tue Jun 24 12:35:01 UTC 2025","1703","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"failed","Tue Jun 24 12:33:30 UTC 2025","Tue Jun 24 12:33:48 UTC 2025","18702","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"failed","Tue Jun 24 12:34:06 UTC 2025","Tue Jun 24 12:34:27 UTC 2025","20785","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"passed","Tue Jun 24 12:33:16 UTC 2025","Tue Jun 24 12:33:17 UTC 2025","1108","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"failed","Tue Jun 24 12:33:53 UTC 2025","Tue Jun 24 12:34:01 UTC 2025","8592","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"passed","Tue Jun 24 12:35:03 UTC 2025","Tue Jun 24 12:35:10 UTC 2025","7189","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"skipped","Tue Jun 24 12:33:22 UTC 2025","Tue Jun 24 12:33:25 UTC 2025","3141","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"failed","Tue Jun 24 12:34:32 UTC 2025","Tue Jun 24 12:34:53 UTC 2025","21641","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"failed","Tue Jun 24 12:35:12 UTC 2025","Tue Jun 24 12:35:28 UTC 2025","16382","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
