"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 09:05:43 UTC 2025","Mon Jun 23 09:05:44 UTC 2025","1247","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Mon Jun 23 09:05:58 UTC 2025","Mon Jun 23 09:06:17 UTC 2025","18889","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Mon Jun 23 09:06:29 UTC 2025","Mon Jun 23 09:06:32 UTC 2025","2728","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Mon Jun 23 09:06:24 UTC 2025","Mon Jun 23 09:06:26 UTC 2025","2131","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"passed","Mon Jun 23 09:06:33 UTC 2025","Mon Jun 23 09:06:41 UTC 2025","7519","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"skipped","Mon Jun 23 09:05:48 UTC 2025","Mon Jun 23 09:05:52 UTC 2025","3879","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
