"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 04 09:48:14 UTC 2025","Fri Jul 04 09:48:58 UTC 2025","44004","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Manager can remove User from organization","
Invite member1 with Manager role. Invite member2 with User role.
Verify that:
    - Manager can remove User from organization
"
"failed","Fri Jul 04 09:52:47 UTC 2025","Fri Jul 04 09:53:29 UTC 2025","41983","UI Tests","UI Organization Roles Access","TestUIOrganizationRolesAccess","","","Verify invited Manager can access organization settings","
Invite member with Manager role.
Verify that user:
    - Can access organization Settings
"
"failed","Fri Jul 04 09:51:59 UTC 2025","Fri Jul 04 09:52:43 UTC 2025","43866","UI Tests","UI Organization Roles Access","TestUIOrganizationRolesAccess","","","Verify invited User access","
Invite member with USER role.
Verify that user:
    - Cannot access organization Settings
    - Cannot access organization Billing
    - Cannot invite member to organization
    - Cannot edit organization members
    - Cannot delete members from organization
"
"passed","Fri Jul 04 09:34:15 UTC 2025","Fri Jul 04 09:34:48 UTC 2025","32810","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change Manager role to Admin","
Invite member with Manager role.
Verify that:
    - Admin can change user role from Manager to Admin
    - User after changing role from Manager to Admin:
        - Can access organization Settings
        - Can access organization Billing
"
"passed","Fri Jul 04 09:53:34 UTC 2025","Fri Jul 04 09:54:03 UTC 2025","28979","UI Tests","UI Organization Roles Access","TestUIOrganizationRolesAccess","","","Verify invited Manager can access organization billing","
Invite member with Manager role.
Verify that user:
    - Can access organization Billing
"
"passed","Fri Jul 04 09:34:53 UTC 2025","Fri Jul 04 09:35:48 UTC 2025","55056","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change Admin role to User","
Invite member with Admin role.
Verify that:
    - Admin can change user role from Admin to User
    - User after changing role from Admin to User:
        - Cannot access organization Settings
        - Cannot access organization Billing
"
"passed","Fri Jul 04 09:31:12 UTC 2025","Fri Jul 04 09:31:13 UTC 2025","1090","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Fri Jul 04 09:45:17 UTC 2025","Fri Jul 04 09:45:58 UTC 2025","41082","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Admin can remove User from organization","
Invite member with User role.
Verify that:
    - Admin can remove User from organization
"
"passed","Fri Jul 04 09:50:08 UTC 2025","Fri Jul 04 09:51:08 UTC 2025","59843","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Manager cannot remove Admin from organization","
Invite member1 with Manager role. Invite member2 with Admin role.
Verify that:
    - Manager cannot remove another Admin from organization
"
"passed","Fri Jul 04 09:38:54 UTC 2025","Fri Jul 04 09:40:12 UTC 2025","78122","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager cannot change User role to Admin","
Invite member1 with Manager role. Invite member2 with User role.
Verify that:
    - Manager cannot change user role from User to Admin
"
"failed","Fri Jul 04 09:38:02 UTC 2025","Fri Jul 04 09:38:49 UTC 2025","46235","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager can change User role to Manager","
Invite member1 with Manager role. Invite member2 with User role.
Verify that:
    - Manager can change user role from User to Manager
    - User after changing role from User to Manager:
        - Can access organization Settings
        - Can access organization Billing
"
"passed","Fri Jul 04 09:41:36 UTC 2025","Fri Jul 04 09:42:28 UTC 2025","51793","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager cannot change Manager role to Admin","
Invite member1 with Manager role. Invite member2 with Manager role.
Verify that:
    - Manager cannot change user role from Manager to Admin
"
"passed","Fri Jul 04 09:36:30 UTC 2025","Fri Jul 04 09:37:13 UTC 2025","43326","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin cannot demote himself to User","
Invite member with Admin role.
Verify that:
    - Admin cannot demote himself to User
"
"failed","Fri Jul 04 09:56:38 UTC 2025","Fri Jul 04 09:58:04 UTC 2025","86062","UI Tests","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"passed","Fri Jul 04 10:02:41 UTC 2025","Fri Jul 04 10:03:08 UTC 2025","26604","UI Tests","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"passed","Fri Jul 04 09:35:53 UTC 2025","Fri Jul 04 09:36:25 UTC 2025","32198","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change Admin role to Manager","
Invite member with Admin role.
Verify that:
    - Admin can change user role from Admin to Manager
    - User after changing role from Admin to Manager:
        - Can access organization Settings
        - Can access organization Billing
"
"passed","Fri Jul 04 09:47:33 UTC 2025","Fri Jul 04 09:48:09 UTC 2025","36013","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Admin cannot remove himself from organization","
Invite member with Admin role.
Verify that:
    - Admin cannot remove himself from organization
"
"passed","Fri Jul 04 10:02:22 UTC 2025","Fri Jul 04 10:02:25 UTC 2025","3515","UI Tests","UI Login","TestUILogin","","","New user successful login",""
"passed","Fri Jul 04 09:40:17 UTC 2025","Fri Jul 04 09:41:30 UTC 2025","72935","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager can change Manager role to User","
Invite member1 with Manager role. Invite member2 with Manager role.
Verify that:
    - Manager can change user role from Manager to User
    - User after changing role from User to Manager:
        - Cannot access organization Settings
        - Cannot access organization Billing
"
"passed","Fri Jul 04 09:46:03 UTC 2025","Fri Jul 04 09:46:43 UTC 2025","39898","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Admin can remove Manager from organization","
Invite member with Manager role.
Verify that:
    - Admin can remove Manager from organization
"
"passed","Fri Jul 04 10:00:07 UTC 2025","Fri Jul 04 10:00:19 UTC 2025","11570","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Create First Project from main page via UI",""
"passed","Fri Jul 04 09:46:48 UTC 2025","Fri Jul 04 09:47:29 UTC 2025","40598","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Admin can remove another Admin from organization","
Invite member with Admin role.
Verify that:
    - Admin can remove Admin from organization
"
"passed","Fri Jul 04 10:00:40 UTC 2025","Fri Jul 04 10:00:58 UTC 2025","17292","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Create Create second project via UI",""
"passed","Fri Jul 04 09:32:42 UTC 2025","Fri Jul 04 09:33:13 UTC 2025","30927","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change User role to Admin","
Invite member with User role.
Verify that:
    - Admin can change user role from User to Admin
    - User after changing role from User to Admin:
        - Can access organization Settings
        - Can access organization Billing
"
"failed","Fri Jul 04 09:54:56 UTC 2025","Fri Jul 04 09:56:20 UTC 2025","83352","UI Tests","UI Organization Roles Access","TestUIOrganizationRolesAccess","","","Verify invited Admin can access organization billing","
Invite member with Admin role.
Verify that user:
    - Can access organization Billing
"
"passed","Fri Jul 04 09:37:18 UTC 2025","Fri Jul 04 09:37:58 UTC 2025","39333","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin cannot demote himself to Manager","
Invite member with Admin role.
Verify that:
    - Admin cannot demote himself to Manager
"
"skipped","Fri Jul 04 09:31:19 UTC 2025","Fri Jul 04 09:31:23 UTC 2025","4427","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"failed","Fri Jul 04 10:01:03 UTC 2025","Fri Jul 04 10:01:23 UTC 2025","20013","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Invite member of organization to project via UI",""
"passed","Fri Jul 04 09:42:34 UTC 2025","Fri Jul 04 09:43:28 UTC 2025","54192","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager cannot change Admin role to User","
Invite member1 with Manager role. Invite member2 with Admin role.
Verify that:
    - Manager cannot change user role from Admin to User
"
"failed","Fri Jul 04 09:54:09 UTC 2025","Fri Jul 04 09:54:52 UTC 2025","42669","UI Tests","UI Organization Roles Access","TestUIOrganizationRolesAccess","","","Verify invited Admin can access organization settings","
Invite member with Admin role.
Verify that user:
    - Can access organization Settings
"
"passed","Fri Jul 04 10:00:24 UTC 2025","Fri Jul 04 10:00:36 UTC 2025","12135","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Create First Project from top pane of main via UI",""
"failed","Fri Jul 04 09:44:29 UTC 2025","Fri Jul 04 09:45:12 UTC 2025","42316","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager cannot demote himself to User","
Invite member with Manager role.
Verify that:
    - Manager cannot demote himself to User
"
"failed","Fri Jul 04 09:58:09 UTC 2025","Fri Jul 04 09:58:57 UTC 2025","47833","UI Tests","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization with default project via UI",""
"passed","Fri Jul 04 09:32:03 UTC 2025","Fri Jul 04 09:32:36 UTC 2025","32566","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change User role to Manager","
Invite member with User role.
Verify that:
    - Admin can change user role from User to Manager
    - User after changing role from User to Manager:
        - Can access organization Settings
        - Can access organization Billing
"
"passed","Fri Jul 04 09:31:29 UTC 2025","Fri Jul 04 09:31:58 UTC 2025","29615","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Fri Jul 04 10:01:53 UTC 2025","Fri Jul 04 10:02:17 UTC 2025","23369","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Invite not registered user to project via UI",""
"passed","Fri Jul 04 10:03:13 UTC 2025","Fri Jul 04 10:03:43 UTC 2025","29915","UI Tests","UI Signup","TestUISignup","","","Invite not registered user to organization with default project via UI",""
"failed","Fri Jul 04 09:43:33 UTC 2025","Fri Jul 04 09:44:24 UTC 2025","51160","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager cannot change Admin role to Manager","
Invite member1 with Manager role. Invite member2 with Admin role.
Verify that:
    - Manager cannot change user role from Admin to Manager
"
"failed","Fri Jul 04 09:59:02 UTC 2025","Fri Jul 04 09:59:48 UTC 2025","46800","UI Tests","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"failed","Fri Jul 04 09:51:12 UTC 2025","Fri Jul 04 09:51:54 UTC 2025","41799","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Manager cannot remove himself from organization","
Invite member with Manager role.
Verify that:
    - Manager cannot remove himself from organization
"
"passed","Fri Jul 04 09:49:03 UTC 2025","Fri Jul 04 09:50:03 UTC 2025","59882","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Manager can remove another Manager from organization","
Invite member1 with Manager role. Invite member2 with Manager role.
Verify that:
    - Manager can remove another Manager from organization
"
