"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 24 12:42:23 UTC 2025","Tue Jun 24 12:42:24 UTC 2025","1177","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Tue Jun 24 12:44:07 UTC 2025","Tue Jun 24 12:44:14 UTC 2025","7150","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Tue Jun 24 12:44:16 UTC 2025","Tue Jun 24 12:44:31 UTC 2025","15109","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"passed","Tue Jun 24 12:42:36 UTC 2025","Tue Jun 24 12:42:55 UTC 2025","18354","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"failed","Tue Jun 24 12:43:12 UTC 2025","Tue Jun 24 12:43:33 UTC 2025","20575","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"failed","Tue Jun 24 12:43:37 UTC 2025","Tue Jun 24 12:43:57 UTC 2025","19407","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"skipped","Tue Jun 24 12:42:28 UTC 2025","Tue Jun 24 12:42:31 UTC 2025","3124","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"failed","Tue Jun 24 12:42:59 UTC 2025","Tue Jun 24 12:43:08 UTC 2025","8892","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"passed","Tue Jun 24 12:44:03 UTC 2025","Tue Jun 24 12:44:05 UTC 2025","1773","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
