"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 00:27:18 UTC 2025","Mon Jun 23 00:27:38 UTC 2025","19650","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Mon Jun 23 00:27:44 UTC 2025","Mon Jun 23 00:27:46 UTC 2025","1785","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"passed","Mon Jun 23 00:27:03 UTC 2025","Mon Jun 23 00:27:06 UTC 2025","3227","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Mon Jun 23 00:27:53 UTC 2025","Mon Jun 23 00:28:02 UTC 2025","8902","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"skipped","Mon Jun 23 00:27:10 UTC 2025","Mon Jun 23 00:27:14 UTC 2025","4045","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Mon Jun 23 00:27:50 UTC 2025","Mon Jun 23 00:27:52 UTC 2025","2552","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
