"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 08:47:50 UTC 2025","Mon Jun 23 08:47:53 UTC 2025","2940","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Mon Jun 23 08:47:54 UTC 2025","Mon Jun 23 08:48:04 UTC 2025","9962","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"skipped","Mon Jun 23 08:47:02 UTC 2025","Mon Jun 23 08:47:06 UTC 2025","3780","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Mon Jun 23 08:47:13 UTC 2025","Mon Jun 23 08:47:37 UTC 2025","24608","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Mon Jun 23 08:46:56 UTC 2025","Mon Jun 23 08:46:58 UTC 2025","1273","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Mon Jun 23 08:47:44 UTC 2025","Mon Jun 23 08:47:46 UTC 2025","1890","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
