"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 08:34:42 UTC 2025","Fri Jul 04 08:35:03 UTC 2025","21381","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Create Create second project via UI",""
"passed","Fri Jul 04 08:31:47 UTC 2025","Fri Jul 04 08:31:56 UTC 2025","8976","UI Tests","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"failed","Fri Jul 04 08:21:19 UTC 2025","Fri Jul 04 08:22:08 UTC 2025","48867","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager cannot change Admin role to Manager","
Invite member1 with Manager role. Invite member2 with Admin role.
Verify that:
    - Manager cannot change user role from Admin to Manager
"
"passed","Fri Jul 04 08:37:53 UTC 2025","Fri Jul 04 08:38:24 UTC 2025","30292","UI Tests","UI Signup","TestUISignup","","","Invite not registered user to organization with default project via UI",""
"failed","Fri Jul 04 08:30:01 UTC 2025","Fri Jul 04 08:30:35 UTC 2025","33317","UI Tests","UI Organization Roles Access","TestUIOrganizationRolesAccess","","","Verify invited Manager can access organization billing","
Invite member with Manager role.
Verify that user:
    - Can access organization Billing
"
"passed","Fri Jul 04 08:37:08 UTC 2025","Fri Jul 04 08:37:19 UTC 2025","10989","UI Tests","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Fri Jul 04 08:13:03 UTC 2025","Fri Jul 04 08:13:34 UTC 2025","31009","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change Manager role to Admin","
Invite member with Manager role.
Verify that:
    - Admin can change user role from Manager to Admin
    - User after changing role from Manager to Admin:
        - Can access organization Settings
        - Can access organization Billing
"
"passed","Fri Jul 04 08:37:03 UTC 2025","Fri Jul 04 08:37:06 UTC 2025","3733","UI Tests","UI Login","TestUILogin","","","New user successful login",""
"failed","Fri Jul 04 08:22:50 UTC 2025","Fri Jul 04 08:23:21 UTC 2025","31268","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Admin can remove User from organization","
Invite member with User role.
Verify that:
    - Admin can remove User from organization
"
"failed","Fri Jul 04 08:32:31 UTC 2025","Fri Jul 04 08:33:07 UTC 2025","36016","UI Tests","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization with default project via UI",""
"failed","Fri Jul 04 08:26:05 UTC 2025","Fri Jul 04 08:26:52 UTC 2025","46735","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Manager can remove another Manager from organization","
Invite member1 with Manager role. Invite member2 with Manager role.
Verify that:
    - Manager can remove another Manager from organization
"
"passed","Fri Jul 04 08:34:25 UTC 2025","Fri Jul 04 08:34:37 UTC 2025","11795","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Create First Project from top pane of main via UI",""
"passed","Fri Jul 04 08:14:34 UTC 2025","Fri Jul 04 08:15:05 UTC 2025","30723","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change Admin role to Manager","
Invite member with Admin role.
Verify that:
    - Admin can change user role from Admin to Manager
    - User after changing role from Admin to Manager:
        - Can access organization Settings
        - Can access organization Billing
"
"failed","Fri Jul 04 08:15:09 UTC 2025","Fri Jul 04 08:15:43 UTC 2025","33934","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin cannot demote himself to User","
Invite member with Admin role.
Verify that:
    - Admin cannot demote himself to User
"
"skipped","Fri Jul 04 08:10:23 UTC 2025","Fri Jul 04 08:10:27 UTC 2025","3851","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Fri Jul 04 08:10:32 UTC 2025","Fri Jul 04 08:11:09 UTC 2025","36835","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"failed","Fri Jul 04 08:16:23 UTC 2025","Fri Jul 04 08:16:58 UTC 2025","34520","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager can change User role to Manager","
Invite member1 with Manager role. Invite member2 with User role.
Verify that:
    - Manager can change user role from User to Manager
    - User after changing role from User to Manager:
        - Can access organization Settings
        - Can access organization Billing
"
"failed","Fri Jul 04 08:12:26 UTC 2025","Fri Jul 04 08:12:58 UTC 2025","31936","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change Manager role to User","
Invite member with Manager role.
Verify that:
    - Admin can change user role from Manager to User
    - User after changing role from Manager to User:
        - Cannot access organization Settings
        - Cannot access organization Billing
"
"passed","Fri Jul 04 08:35:33 UTC 2025","Fri Jul 04 08:36:16 UTC 2025","43118","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Invite member that NOT in organization to project via UI",""
"passed","Fri Jul 04 08:33:12 UTC 2025","Fri Jul 04 08:33:41 UTC 2025","29287","UI Tests","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"failed","Fri Jul 04 08:11:14 UTC 2025","Fri Jul 04 08:11:47 UTC 2025","33184","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change User role to Manager","
Invite member with User role.
Verify that:
    - Admin can change user role from User to Manager
    - User after changing role from User to Manager:
        - Can access organization Settings
        - Can access organization Billing
"
"failed","Fri Jul 04 08:23:26 UTC 2025","Fri Jul 04 08:23:57 UTC 2025","31621","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Admin can remove Manager from organization","
Invite member with Manager role.
Verify that:
    - Admin can remove Manager from organization
"
"failed","Fri Jul 04 08:30:39 UTC 2025","Fri Jul 04 08:31:12 UTC 2025","32448","UI Tests","UI Organization Roles Access","TestUIOrganizationRolesAccess","","","Verify invited Admin can access organization settings","
Invite member with Admin role.
Verify that user:
    - Can access organization Settings
"
"failed","Fri Jul 04 08:15:49 UTC 2025","Fri Jul 04 08:16:18 UTC 2025","29427","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin cannot demote himself to Manager","
Invite member with Admin role.
Verify that:
    - Admin cannot demote himself to Manager
"
"passed","Fri Jul 04 08:36:35 UTC 2025","Fri Jul 04 08:36:58 UTC 2025","23756","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Invite not registered user to project via UI",""
"passed","Fri Jul 04 08:37:21 UTC 2025","Fri Jul 04 08:37:48 UTC 2025","26710","UI Tests","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"failed","Fri Jul 04 08:20:24 UTC 2025","Fri Jul 04 08:21:14 UTC 2025","49937","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Manager cannot change Admin role to User","
Invite member1 with Manager role. Invite member2 with Admin role.
Verify that:
    - Manager cannot change user role from Admin to User
"
"failed","Fri Jul 04 08:34:01 UTC 2025","Fri Jul 04 08:34:21 UTC 2025","19928","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Create First Project from main page via UI",""
"passed","Fri Jul 04 08:13:39 UTC 2025","Fri Jul 04 08:14:29 UTC 2025","49636","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change Admin role to User","
Invite member with Admin role.
Verify that:
    - Admin can change user role from Admin to User
    - User after changing role from Admin to User:
        - Cannot access organization Settings
        - Cannot access organization Billing
"
"failed","Fri Jul 04 08:29:28 UTC 2025","Fri Jul 04 08:29:56 UTC 2025","28153","UI Tests","UI Organization Roles Access","TestUIOrganizationRolesAccess","","","Verify invited Manager can access organization settings","
Invite member with Manager role.
Verify that user:
    - Can access organization Settings
"
"passed","Fri Jul 04 08:32:01 UTC 2025","Fri Jul 04 08:32:26 UTC 2025","25425","UI Tests","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"failed","Fri Jul 04 08:24:02 UTC 2025","Fri Jul 04 08:24:35 UTC 2025","33121","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Admin can remove another Admin from organization","
Invite member with Admin role.
Verify that:
    - Admin can remove Admin from organization
"
"failed","Fri Jul 04 08:25:26 UTC 2025","Fri Jul 04 08:26:00 UTC 2025","34400","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Manager can remove User from organization","
Invite member1 with Manager role. Invite member2 with User role.
Verify that:
    - Manager can remove User from organization
"
"passed","Fri Jul 04 08:11:52 UTC 2025","Fri Jul 04 08:12:22 UTC 2025","29494","UI Tests","UI Organization Change Member Roles","TestUIOrganizationChangeMemberRoles","","","Verify Admin can change User role to Admin","
Invite member with User role.
Verify that:
    - Admin can change user role from User to Admin
    - User after changing role from User to Admin:
        - Can access organization Settings
        - Can access organization Billing
"
"passed","Fri Jul 04 08:26:57 UTC 2025","Fri Jul 04 08:27:55 UTC 2025","58392","UI Tests","UI Organization Remove Members","TestUIOrganizationRemoveMembers","","","Verify Manager cannot remove Admin from organization","
Invite member1 with Manager role. Invite member2 with Admin role.
Verify that:
    - Manager cannot remove another Admin from organization
"
"passed","Fri Jul 04 08:28:37 UTC 2025","Fri Jul 04 08:29:24 UTC 2025","47209","UI Tests","UI Organization Roles Access","TestUIOrganizationRolesAccess","","","Verify invited User access","
Invite member with USER role.
Verify that user:
    - Cannot access organization Settings
    - Cannot access organization Billing
    - Cannot invite member to organization
    - Cannot edit organization members
    - Cannot delete members from organization
"
"failed","Fri Jul 04 08:35:08 UTC 2025","Fri Jul 04 08:35:28 UTC 2025","20547","UI Tests","UI Project Structure Setup","TestUIProjectStructureSetup","","","Invite member of organization to project via UI",""
