"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 16 11:02:00 UTC 2025","Mon Jun 16 11:02:33 UTC 2025","33554","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"failed","Mon Jun 16 11:01:27 UTC 2025","Mon Jun 16 11:01:27 UTC 2025","0","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Mon Jun 16 11:03:35 UTC 2025","Mon Jun 16 11:03:38 UTC 2025","3061","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"failed","Mon Jun 16 11:03:39 UTC 2025","Mon Jun 16 11:03:54 UTC 2025","14632","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"failed","Mon Jun 16 11:03:23 UTC 2025","Mon Jun 16 11:03:30 UTC 2025","6622","tests.test_cases.tests_ui","UI Login","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"failed","Mon Jun 16 11:02:38 UTC 2025","Mon Jun 16 11:03:16 UTC 2025","37804","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
