"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 24 17:23:09 UTC 2025","Tue Jun 24 17:23:17 UTC 2025","7370","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"passed","Tue Jun 24 17:24:03 UTC 2025","Tue Jun 24 17:24:26 UTC 2025","23648","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"skipped","Tue Jun 24 17:22:35 UTC 2025","Tue Jun 24 17:22:39 UTC 2025","3609","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Tue Jun 24 17:24:41 UTC 2025","Tue Jun 24 17:24:44 UTC 2025","3433","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Tue Jun 24 17:24:46 UTC 2025","Tue Jun 24 17:24:58 UTC 2025","11598","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Tue Jun 24 17:22:29 UTC 2025","Tue Jun 24 17:22:30 UTC 2025","1063","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Tue Jun 24 17:23:21 UTC 2025","Tue Jun 24 17:23:44 UTC 2025","23505","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"passed","Tue Jun 24 17:22:44 UTC 2025","Tue Jun 24 17:23:05 UTC 2025","21082","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Tue Jun 24 17:25:00 UTC 2025","Tue Jun 24 17:25:23 UTC 2025","23125","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
