"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 24 17:14:20 UTC 2025","Tue Jun 24 17:14:25 UTC 2025","5599","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"passed","Tue Jun 24 17:15:56 UTC 2025","Tue Jun 24 17:16:08 UTC 2025","11594","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"failed","Tue Jun 24 17:16:10 UTC 2025","Tue Jun 24 17:16:22 UTC 2025","12614","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"passed","Tue Jun 24 17:15:50 UTC 2025","Tue Jun 24 17:15:54 UTC 2025","3606","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Tue Jun 24 17:13:38 UTC 2025","Tue Jun 24 17:13:39 UTC 2025","1031","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Tue Jun 24 17:14:31 UTC 2025","Tue Jun 24 17:14:53 UTC 2025","21705","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"skipped","Tue Jun 24 17:13:44 UTC 2025","Tue Jun 24 17:13:48 UTC 2025","3404","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Tue Jun 24 17:13:53 UTC 2025","Tue Jun 24 17:14:15 UTC 2025","21830","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Tue Jun 24 17:15:08 UTC 2025","Tue Jun 24 17:15:32 UTC 2025","23786","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
