"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 24 11:41:21 UTC 2025","Tue Jun 24 11:41:36 UTC 2025","14679","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"failed","Tue Jun 24 11:42:22 UTC 2025","Tue Jun 24 11:42:40 UTC 2025","17949","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"skipped","Tue Jun 24 11:41:14 UTC 2025","Tue Jun 24 11:41:17 UTC 2025","3339","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Tue Jun 24 11:42:58 UTC 2025","Tue Jun 24 11:43:13 UTC 2025","15080","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"passed","Tue Jun 24 11:41:08 UTC 2025","Tue Jun 24 11:41:09 UTC 2025","1087","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Tue Jun 24 11:41:52 UTC 2025","Tue Jun 24 11:42:10 UTC 2025","17741","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"passed","Tue Jun 24 11:42:49 UTC 2025","Tue Jun 24 11:42:56 UTC 2025","7294","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"failed","Tue Jun 24 11:41:39 UTC 2025","Tue Jun 24 11:41:49 UTC 2025","9995","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"passed","Tue Jun 24 11:42:45 UTC 2025","Tue Jun 24 11:42:48 UTC 2025","3160","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
