"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 17:43:40 UTC 2025","Mon Jun 23 17:43:48 UTC 2025","7767","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Mon Jun 23 17:43:37 UTC 2025","Mon Jun 23 17:43:39 UTC 2025","2399","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"skipped","Mon Jun 23 17:42:01 UTC 2025","Mon Jun 23 17:42:04 UTC 2025","3332","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Mon Jun 23 17:43:08 UTC 2025","Mon Jun 23 17:43:25 UTC 2025","16853","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"passed","Mon Jun 23 17:42:38 UTC 2025","Mon Jun 23 17:42:55 UTC 2025","17452","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"passed","Mon Jun 23 17:42:08 UTC 2025","Mon Jun 23 17:42:26 UTC 2025","17954","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Mon Jun 23 17:43:49 UTC 2025","Mon Jun 23 17:44:05 UTC 2025","15587","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"passed","Mon Jun 23 17:42:29 UTC 2025","Mon Jun 23 17:42:34 UTC 2025","4669","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"passed","Mon Jun 23 17:41:55 UTC 2025","Mon Jun 23 17:41:56 UTC 2025","1134","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
