"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 23 09:11:19 UTC 2025","Mon Jun 23 09:11:23 UTC 2025","3992","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Mon Jun 23 09:12:04 UTC 2025","Mon Jun 23 09:12:12 UTC 2025","7691","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Mon Jun 23 09:12:00 UTC 2025","Mon Jun 23 09:12:03 UTC 2025","2670","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Mon Jun 23 09:11:55 UTC 2025","Mon Jun 23 09:11:57 UTC 2025","1898","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"passed","Mon Jun 23 09:11:14 UTC 2025","Mon Jun 23 09:11:15 UTC 2025","1206","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Mon Jun 23 09:11:28 UTC 2025","Mon Jun 23 09:11:48 UTC 2025","20607","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
