"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 16:49:41 UTC 2025","Mon Jun 23 16:49:46 UTC 2025","4330","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"skipped","Mon Jun 23 16:49:10 UTC 2025","Mon Jun 23 16:49:14 UTC 2025","3428","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"failed","Mon Jun 23 16:49:49 UTC 2025","Mon Jun 23 16:50:33 UTC 2025","43904","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"passed","Mon Jun 23 16:50:36 UTC 2025","Mon Jun 23 16:50:56 UTC 2025","20036","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"passed","Mon Jun 23 16:51:14 UTC 2025","Mon Jun 23 16:51:20 UTC 2025","6605","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Mon Jun 23 16:51:21 UTC 2025","Mon Jun 23 16:51:37 UTC 2025","16035","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"passed","Mon Jun 23 16:49:05 UTC 2025","Mon Jun 23 16:49:06 UTC 2025","1128","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Mon Jun 23 16:51:10 UTC 2025","Mon Jun 23 16:51:13 UTC 2025","2754","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Mon Jun 23 16:49:18 UTC 2025","Mon Jun 23 16:49:38 UTC 2025","19924","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
