"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 26 08:09:37 UTC 2025","Sat Jul 26 08:10:41 UTC 2025","63908","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify Admin can purchase organization credits with custom amount","
Verify that:
    - Admin can purchase credits by input custom amount.
"
"passed","Sat Jul 26 08:00:22 UTC 2025","Sat Jul 26 08:01:39 UTC 2025","76980","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify User cannot purchase credits via top pane","
Invite member with User role.
Verify that:
    - User cannot purchase credits via top pane.
"
"failed","Sat Jul 26 08:05:53 UTC 2025","Sat Jul 26 08:07:21 UTC 2025","87758","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify Manager can purchase organization credits with predefined value","
Invite member with Manager role.
Verify that:
    - Manager can purchase credits using predefined value(10, 100, 1000).
"
