"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 19 12:04:34 UTC 2025","Thu Jun 19 12:04:35 UTC 2025","1132","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Thu Jun 19 12:04:50 UTC 2025","Thu Jun 19 12:05:10 UTC 2025","20316","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"skipped","Thu Jun 19 12:04:41 UTC 2025","Thu Jun 19 12:04:45 UTC 2025","4177","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Thu Jun 19 12:05:26 UTC 2025","Thu Jun 19 12:05:30 UTC 2025","3853","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Thu Jun 19 12:05:31 UTC 2025","Thu Jun 19 12:05:41 UTC 2025","9860","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Thu Jun 19 12:05:19 UTC 2025","Thu Jun 19 12:05:22 UTC 2025","2389","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
