"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jun 23 16:57:02 UTC 2025","Mon Jun 23 16:57:05 UTC 2025","3328","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"failed","Mon Jun 23 16:58:17 UTC 2025","Mon Jun 23 16:59:03 UTC 2025","45817","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"passed","Mon Jun 23 16:57:12 UTC 2025","Mon Jun 23 16:57:30 UTC 2025","18787","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"failed","Mon Jun 23 16:57:42 UTC 2025","Mon Jun 23 16:58:03 UTC 2025","21367","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"passed","Mon Jun 23 16:57:34 UTC 2025","Mon Jun 23 16:57:38 UTC 2025","3993","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"passed","Mon Jun 23 16:56:56 UTC 2025","Mon Jun 23 16:56:57 UTC 2025","1145","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Mon Jun 23 16:59:12 UTC 2025","Mon Jun 23 16:59:20 UTC 2025","8473","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Mon Jun 23 16:59:08 UTC 2025","Mon Jun 23 16:59:11 UTC 2025","2562","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"failed","Mon Jun 23 16:59:22 UTC 2025","Mon Jun 23 16:59:58 UTC 2025","36390","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
