"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 17 13:05:02 UTC 2025","Tue Jun 17 13:05:36 UTC 2025","34486","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Tue Jun 17 13:05:52 UTC 2025","Tue Jun 17 13:06:01 UTC 2025","9007","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Tue Jun 17 13:04:48 UTC 2025","Tue Jun 17 13:04:50 UTC 2025","1248","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Tue Jun 17 13:05:49 UTC 2025","Tue Jun 17 13:05:51 UTC 2025","2721","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Tue Jun 17 13:05:43 UTC 2025","Tue Jun 17 13:05:45 UTC 2025","1785","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"skipped","Tue Jun 17 13:04:54 UTC 2025","Tue Jun 17 13:04:58 UTC 2025","3723","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
