"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 16:25:29 UTC 2025","Mon Jun 23 16:25:49 UTC 2025","19982","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Mon Jun 23 16:26:02 UTC 2025","Mon Jun 23 16:26:21 UTC 2025","19269","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"failed","Mon Jun 23 16:27:43 UTC 2025","Mon Jun 23 16:27:54 UTC 2025","11110","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"failed","Mon Jun 23 16:26:35 UTC 2025","Mon Jun 23 16:27:22 UTC 2025","47350","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"skipped","Mon Jun 23 16:25:19 UTC 2025","Mon Jun 23 16:25:25 UTC 2025","5825","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Mon Jun 23 16:27:32 UTC 2025","Mon Jun 23 16:27:41 UTC 2025","9132","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Mon Jun 23 16:27:28 UTC 2025","Mon Jun 23 16:27:31 UTC 2025","3142","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Mon Jun 23 16:25:53 UTC 2025","Mon Jun 23 16:25:58 UTC 2025","4798","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"passed","Mon Jun 23 16:25:13 UTC 2025","Mon Jun 23 16:25:14 UTC 2025","1227","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
