"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 26 08:15:19 UTC 2025","Sat Jul 26 08:16:07 UTC 2025","48122","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify Admin can purchase organization credits with custom amount","
Verify that:
    - Admin can purchase credits by input custom amount.
"
"passed","Sat Jul 26 08:12:13 UTC 2025","Sat Jul 26 08:13:26 UTC 2025","72480","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify User cannot purchase credits via top pane","
Invite member with User role.
Verify that:
    - User cannot purchase credits via top pane.
"
"failed","Sat Jul 26 08:13:33 UTC 2025","Sat Jul 26 08:15:07 UTC 2025","93936","UI Tests","UI Credits Purchase","TestUICreditsPurchase","","","Verify Manager can purchase organization credits with predefined value","
Invite member with Manager role.
Verify that:
    - Manager can purchase credits using predefined value(10, 100, 1000).
"
