"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 17 14:04:07 UTC 2025","Tue Jun 17 14:04:09 UTC 2025","1834","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"skipped","Tue Jun 17 14:03:12 UTC 2025","Tue Jun 17 14:03:16 UTC 2025","4814","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Tue Jun 17 14:03:22 UTC 2025","Tue Jun 17 14:03:59 UTC 2025","37265","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Tue Jun 17 14:04:13 UTC 2025","Tue Jun 17 14:04:16 UTC 2025","2868","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Tue Jun 17 14:04:17 UTC 2025","Tue Jun 17 14:04:28 UTC 2025","10810","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Tue Jun 17 14:03:06 UTC 2025","Tue Jun 17 14:03:07 UTC 2025","1124","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
