"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 22 04:11:46 UTC 2025","Sun Jun 22 04:11:48 UTC 2025","1855","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"passed","Sun Jun 22 04:11:56 UTC 2025","Sun Jun 22 04:12:04 UTC 2025","8317","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Sun Jun 22 04:11:19 UTC 2025","Sun Jun 22 04:11:39 UTC 2025","19611","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Sun Jun 22 04:11:05 UTC 2025","Sun Jun 22 04:11:06 UTC 2025","1262","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"skipped","Sun Jun 22 04:11:11 UTC 2025","Sun Jun 22 04:11:15 UTC 2025","4045","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Sun Jun 22 04:11:52 UTC 2025","Sun Jun 22 04:11:55 UTC 2025","2684","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
