"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 20 07:52:29 UTC 2025","Fri Jun 20 07:52:50 UTC 2025","21014","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Fri Jun 20 07:53:03 UTC 2025","Fri Jun 20 07:53:06 UTC 2025","3559","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Fri Jun 20 07:52:15 UTC 2025","Fri Jun 20 07:52:16 UTC 2025","1165","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Fri Jun 20 07:52:58 UTC 2025","Fri Jun 20 07:52:59 UTC 2025","1696","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"skipped","Fri Jun 20 07:52:21 UTC 2025","Fri Jun 20 07:52:24 UTC 2025","3420","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Fri Jun 20 07:53:08 UTC 2025","Fri Jun 20 07:53:17 UTC 2025","9885","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
