"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 23 04:13:30 UTC 2025","Mon Jun 23 04:13:48 UTC 2025","18046","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"skipped","Mon Jun 23 04:13:21 UTC 2025","Mon Jun 23 04:13:24 UTC 2025","3633","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Mon Jun 23 04:14:01 UTC 2025","Mon Jun 23 04:14:04 UTC 2025","2613","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Mon Jun 23 04:13:15 UTC 2025","Mon Jun 23 04:13:17 UTC 2025","1188","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Mon Jun 23 04:13:55 UTC 2025","Mon Jun 23 04:13:56 UTC 2025","1847","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"passed","Mon Jun 23 04:14:05 UTC 2025","Mon Jun 23 04:14:12 UTC 2025","7550","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
