"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 19:52:36 UTC 2025","Thu Jul 24 19:53:35 UTC 2025","58706","UI Tests","UI Files","TestUIFiles","","","User rename Folder","
User created Folder.
Verify that user can rename a folder with Rename button from File action bar.
"
"passed","Thu Jul 24 19:57:35 UTC 2025","Thu Jul 24 19:58:20 UTC 2025","45225","UI Tests","UI Files","TestUIFiles","","","User download bin file","
User uploaded bin file.
Verify that:
    - user can download bin file via UI.
    - downloaded bin file md5 hash matches expected file.
"
"passed","Thu Jul 24 19:53:42 UTC 2025","Thu Jul 24 19:54:40 UTC 2025","58503","UI Tests","UI Files","TestUIFiles","","","User delete Folder","
User created Folder.
Verify that user can delete a folder with Delete button from File action bar.
"
"passed","Thu Jul 24 19:47:07 UTC 2025","Thu Jul 24 19:48:44 UTC 2025","96527","UI Tests","UI Files","TestUIFiles","","","Verify Manager can create new folder","
Invite member1 to organization with User role.
Invite member1 to project with Manager role.
Verify that:
    - Manager can create new folder
"
"passed","Thu Jul 24 19:54:56 UTC 2025","Thu Jul 24 19:55:43 UTC 2025","46508","UI Tests","UI Files","TestUIFiles","","","User upload bin file","
Verify that user can upload bin file via UI.
"
"passed","Thu Jul 24 19:45:07 UTC 2025","Thu Jul 24 19:47:00 UTC 2025","112600","UI Tests","UI Files","TestUIFiles","","","Verify Writer can create new folder","
Invite member1 to organization with User role.
Invite member1 to project with Writer role.
Verify that:
    - Writer can create new folder
"
"passed","Thu Jul 24 19:56:42 UTC 2025","Thu Jul 24 19:57:28 UTC 2025","45391","UI Tests","UI Files","TestUIFiles","","","User make single click on File","
User uploaded txt file.
Verify that after single click on file following elements appear:
    - File info section
    - File action bar
"
"passed","Thu Jul 24 19:59:19 UTC 2025","Thu Jul 24 20:00:33 UTC 2025","73956","UI Tests","UI Files","TestUIFiles","","","User rename File","
User uploaded txt file.
Verify that user can rename a file with Rename button from File action bar.
"
"passed","Thu Jul 24 19:58:26 UTC 2025","Thu Jul 24 19:59:13 UTC 2025","46961","UI Tests","UI Files","TestUIFiles","","","User download txt file","
User uploaded txt file.
Verify that:
    - user can download txt file via UI.
    - downloaded bin file md5 hash matches expected file.
"
"passed","Thu Jul 24 19:55:50 UTC 2025","Thu Jul 24 19:56:35 UTC 2025","45091","UI Tests","UI Files","TestUIFiles","","","User upload txt file","
Verify that user can upload txt file via UI.
"
"passed","Thu Jul 24 19:48:51 UTC 2025","Thu Jul 24 19:50:44 UTC 2025","113000","UI Tests","UI Files","TestUIFiles","","","Verify Admin can create new folder","
Invite member1 to organization with User role.
Invite member1 to project with Admin role.
Verify that:
    - Admin can create new folder
"
"passed","Thu Jul 24 19:51:43 UTC 2025","Thu Jul 24 19:52:30 UTC 2025","46689","UI Tests","UI Files","TestUIFiles","","","User make double click on Folder","
User created Folder.
Verify that user opens a folder with a double click on it.
"
"passed","Thu Jul 24 19:50:50 UTC 2025","Thu Jul 24 19:51:36 UTC 2025","46027","UI Tests","UI Files","TestUIFiles","","","User make single click on Folder","
User created Folder.
Verify that after single click on folder following elements appear:
    - Folder info section
    - Folder action bar
"
"passed","Thu Jul 24 20:00:40 UTC 2025","Thu Jul 24 20:01:38 UTC 2025","57801","UI Tests","UI Files","TestUIFiles","","","User delete File","
User uploaded txt file.
Verify that user can delete a file with Delete button from File action bar.
"
