"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 23 16:43:01 UTC 2025","Mon Jun 23 16:43:50 UTC 2025","48257","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"passed","Mon Jun 23 16:41:34 UTC 2025","Mon Jun 23 16:41:55 UTC 2025","20879","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Mon Jun 23 16:43:56 UTC 2025","Mon Jun 23 16:43:59 UTC 2025","3498","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"skipped","Mon Jun 23 16:41:27 UTC 2025","Mon Jun 23 16:41:30 UTC 2025","3577","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"failed","Mon Jun 23 16:41:59 UTC 2025","Mon Jun 23 16:42:09 UTC 2025","10034","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"failed","Mon Jun 23 16:42:12 UTC 2025","Mon Jun 23 16:42:58 UTC 2025","45792","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"failed","Mon Jun 23 16:44:09 UTC 2025","Mon Jun 23 16:44:45 UTC 2025","35762","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"passed","Mon Jun 23 16:41:21 UTC 2025","Mon Jun 23 16:41:22 UTC 2025","1200","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Mon Jun 23 16:44:00 UTC 2025","Mon Jun 23 16:44:08 UTC 2025","7699","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
