"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 17 12:36:53 UTC 2025","Tue Jun 17 12:36:54 UTC 2025","1142","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"failed","Tue Jun 17 12:37:33 UTC 2025","Tue Jun 17 12:37:39 UTC 2025","6435","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"passed","Tue Jun 17 12:37:07 UTC 2025","Tue Jun 17 12:37:26 UTC 2025","19531","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"skipped","Tue Jun 17 12:36:58 UTC 2025","Tue Jun 17 12:37:02 UTC 2025","3926","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Tue Jun 17 12:37:43 UTC 2025","Tue Jun 17 12:37:46 UTC 2025","3125","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Tue Jun 17 12:37:48 UTC 2025","Tue Jun 17 12:37:56 UTC 2025","8161","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
