"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 24 16:35:52 UTC 2025","Tue Jun 24 16:36:19 UTC 2025","26879","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"passed","Tue Jun 24 16:36:45 UTC 2025","Tue Jun 24 16:37:10 UTC 2025","24297","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"passed","Tue Jun 24 16:36:25 UTC 2025","Tue Jun 24 16:36:29 UTC 2025","3626","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Tue Jun 24 16:34:17 UTC 2025","Tue Jun 24 16:34:18 UTC 2025","1180","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"skipped","Tue Jun 24 16:34:23 UTC 2025","Tue Jun 24 16:34:27 UTC 2025","4523","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Tue Jun 24 16:35:09 UTC 2025","Tue Jun 24 16:35:33 UTC 2025","24038","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"passed","Tue Jun 24 16:34:58 UTC 2025","Tue Jun 24 16:35:04 UTC 2025","6004","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"passed","Tue Jun 24 16:34:33 UTC 2025","Tue Jun 24 16:34:54 UTC 2025","20879","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Tue Jun 24 16:36:31 UTC 2025","Tue Jun 24 16:36:43 UTC 2025","12596","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
