"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 17 13:57:35 UTC 2025","Tue Jun 17 13:57:37 UTC 2025","1889","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUICreateFirstOrganization","","","Create First Organization via UI",""
"passed","Tue Jun 17 13:57:40 UTC 2025","Tue Jun 17 13:57:43 UTC 2025","2676","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Tue Jun 17 13:57:07 UTC 2025","Tue Jun 17 13:57:27 UTC 2025","20796","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
"passed","Tue Jun 17 13:57:44 UTC 2025","Tue Jun 17 13:57:53 UTC 2025","8302","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"passed","Tue Jun 17 13:56:52 UTC 2025","Tue Jun 17 13:56:54 UTC 2025","1248","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"skipped","Tue Jun 17 13:56:58 UTC 2025","Tue Jun 17 13:57:02 UTC 2025","3879","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
