"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 24 12:10:55 UTC 2025","Tue Jun 24 12:11:15 UTC 2025","20084","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite user with organization to organization via UI",""
"passed","Tue Jun 24 12:09:58 UTC 2025","Tue Jun 24 12:10:03 UTC 2025","4956","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Create First Organization via UI",""
"skipped","Tue Jun 24 12:09:28 UTC 2025","Tue Jun 24 12:09:32 UTC 2025","3146","tests.test_cases.tests_cli","CLI Organization Structure Setup","TestCLIOrganizationStructureSetup","","","User creates a first organization via CLI",""
"passed","Tue Jun 24 12:11:21 UTC 2025","Tue Jun 24 12:11:23 UTC 2025","2626","tests.test_cases.tests_ui","UI Login","TestUILogin","","","New user successful login",""
"passed","Tue Jun 24 12:09:23 UTC 2025","Tue Jun 24 12:09:24 UTC 2025","1193","tests.test_cases.tests_cli","CLI Login","TestCLILogin","","","User logs in to Apolo CLI with auth token and verifies login success",""
"passed","Tue Jun 24 12:11:25 UTC 2025","Tue Jun 24 12:11:33 UTC 2025","8659","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","New user successful signup",""
"failed","Tue Jun 24 12:11:34 UTC 2025","Tue Jun 24 12:11:49 UTC 2025","14446","tests.test_cases.tests_ui","UI Signup","TestUISignup","","","Invite not registered user as user to organization",""
"failed","Tue Jun 24 12:10:07 UTC 2025","Tue Jun 24 12:10:52 UTC 2025","44732","tests.test_cases.tests_ui","UI Organization Structure Setup","TestUIOrganizationStructureSetup","","","Invite registered user without organization to organization via UI",""
"passed","Tue Jun 24 12:09:36 UTC 2025","Tue Jun 24 12:09:54 UTC 2025","18719","tests.test_cases.tests_e2e","Apolo CLI Hello World Job Verification","TestHelloWorldJob","","","Run Hello World Job and Validate UI and CLI Results",""
